"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060870007","3","9.1","ug/m3 LC","38","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/02/2020","AQS","060870007","3","6.1","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/03/2020","AQS","060870007","3","6.7","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/04/2020","AQS","060870007","3","6.9","ug/m3 LC","29","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/05/2020","AQS","060870007","3","5.2","ug/m3 LC","22","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/06/2020","AQS","060870007","3","5.5","ug/m3 LC","23","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/07/2020","AQS","060870007","3","7.1","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/08/2020","AQS","060870007","3","3.5","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/09/2020","AQS","060870007","3","4.5","ug/m3 LC","19","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/10/2020","AQS","060870007","3","5.9","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/11/2020","AQS","060870007","3","5.9","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/12/2020","AQS","060870007","3","5.4","ug/m3 LC","23","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/13/2020","AQS","060870007","3","5.4","ug/m3 LC","23","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/14/2020","AQS","060870007","3","5.4","ug/m3 LC","23","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/15/2020","AQS","060870007","3","6.3","ug/m3 LC","26","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/16/2020","AQS","060870007","3","5.2","ug/m3 LC","22","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/17/2020","AQS","060870007","3","4.7","ug/m3 LC","20","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/18/2020","AQS","060870007","3","7.2","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/19/2020","AQS","060870007","3","9.8","ug/m3 LC","41","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/20/2020","AQS","060870007","3","6.7","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/21/2020","AQS","060870007","3","6.8","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/22/2020","AQS","060870007","3","3.7","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/23/2020","AQS","060870007","3","6.7","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/24/2020","AQS","060870007","3","7.7","ug/m3 LC","32","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/25/2020","AQS","060870007","3","6.8","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/26/2020","AQS","060870007","3","4.2","ug/m3 LC","18","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/27/2020","AQS","060870007","3","5.2","ug/m3 LC","22","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/28/2020","AQS","060870007","3","5.8","ug/m3 LC","24","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/29/2020","AQS","060870007","3","8.5","ug/m3 LC","35","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/30/2020","AQS","060870007","3","6.4","ug/m3 LC","27","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"01/31/2020","AQS","060870007","3","7.3","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/01/2020","AQS","060870007","3","10","ug/m3 LC","42","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/02/2020","AQS","060870007","3","6.6","ug/m3 LC","28","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/03/2020","AQS","060870007","3","2.1","ug/m3 LC","9","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/04/2020","AQS","060870007","3","2.5","ug/m3 LC","10","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/05/2020","AQS","060870007","3","5","ug/m3 LC","21","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/06/2020","AQS","060870007","3","7.2","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/07/2020","AQS","060870007","3","8.6","ug/m3 LC","36","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/08/2020","AQS","060870007","3","9.6","ug/m3 LC","40","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/09/2020","AQS","060870007","3","2.7","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/10/2020","AQS","060870007","3","3.6","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/11/2020","AQS","060870007","3","5","ug/m3 LC","21","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/12/2020","AQS","060870007","3","6.3","ug/m3 LC","26","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/13/2020","AQS","060870007","3","8.1","ug/m3 LC","34","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/14/2020","AQS","060870007","3","6","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/15/2020","AQS","060870007","3","9.2","ug/m3 LC","38","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/16/2020","AQS","060870007","3","7.7","ug/m3 LC","32","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/17/2020","AQS","060870007","3","6.4","ug/m3 LC","27","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/18/2020","AQS","060870007","3","8","ug/m3 LC","33","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/19/2020","AQS","060870007","3","7.2","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/20/2020","AQS","060870007","3","7.5","ug/m3 LC","31","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/21/2020","AQS","060870007","3","11","ug/m3 LC","46","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/22/2020","AQS","060870007","3","10.8","ug/m3 LC","45","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/23/2020","AQS","060870007","3","4.6","ug/m3 LC","19","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/24/2020","AQS","060870007","3","6.3","ug/m3 LC","26","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/25/2020","AQS","060870007","3","7.5","ug/m3 LC","31","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/26/2020","AQS","060870007","3","6","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/27/2020","AQS","060870007","3","9.2","ug/m3 LC","38","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/28/2020","AQS","060870007","3","9.4","ug/m3 LC","39","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"02/29/2020","AQS","060870007","3","7.6","ug/m3 LC","32","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/01/2020","AQS","060870007","3","5.7","ug/m3 LC","24","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/02/2020","AQS","060870007","3","4.9","ug/m3 LC","20","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/03/2020","AQS","060870007","3","9","ug/m3 LC","38","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/04/2020","AQS","060870007","3","7.2","ug/m3 LC","30","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/05/2020","AQS","060870007","3","9.1","ug/m3 LC","38","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/06/2020","AQS","060870007","3","3.9","ug/m3 LC","16","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/07/2020","AQS","060870007","3","2.6","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/08/2020","AQS","060870007","3","2.8","ug/m3 LC","12","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/09/2020","AQS","060870007","3","2.7","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/10/2020","AQS","060870007","3","3.6","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/11/2020","AQS","060870007","3","4.5","ug/m3 LC","19","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/12/2020","AQS","060870007","3","5.1","ug/m3 LC","21","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/13/2020","AQS","060870007","3","12","ug/m3 LC","50","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/14/2020","AQS","060870007","3","4","ug/m3 LC","17","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/15/2020","AQS","060870007","3","3.3","ug/m3 LC","14","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/16/2020","AQS","060870007","3","2.6","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/17/2020","AQS","060870007","3","2.5","ug/m3 LC","10","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/18/2020","AQS","060870007","3","3.8","ug/m3 LC","16","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/19/2020","AQS","060870007","3","2.9","ug/m3 LC","12","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/20/2020","AQS","060870007","3","3.5","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/21/2020","AQS","060870007","3","3.7","ug/m3 LC","15","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/22/2020","AQS","060870007","3","2","ug/m3 LC","8","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/23/2020","AQS","060870007","3","2.7","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/24/2020","AQS","060870007","3","3.4","ug/m3 LC","14","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/25/2020","AQS","060870007","3","1","ug/m3 LC","4","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/26/2020","AQS","060870007","3","2.7","ug/m3 LC","11","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/27/2020","AQS","060870007","3","5.9","ug/m3 LC","25","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/28/2020","AQS","060870007","3","10.7","ug/m3 LC","45","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/29/2020","AQS","060870007","3","5.2","ug/m3 LC","22","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
"03/30/2020","AQS","060870007","3","2.1","ug/m3 LC","9","Santa Cruz","1","100.0000","88101","PM2.5 - Local Conditions","42100","Santa Cruz-Watsonville, CA","06","California","087","Santa Cruz","36.983320000907","-121.98822"
